folioviv;clave;gasto_tri;frecuencia
0507703;B001;1996,41;5
0507703;F001;1175,45;2
0507703;B002;2189,08;2
0507703;A001;2963,46;3
0507703;D001;5368,33;6
0913292;E001;7462,78;6
0913292;F001;1525,47;1
0913292;C001;5038,09;6
0913292;A001;4120,26;2
0913292;D001;3525,07;5
0913292;B001;649,81;1
0913292;B002;585,22;5
0913292;A002;1900,72;6
0372425;A001;673,71;4
0372425;B001;1101,45;4
0372425;C001;8587,81;4
0372425;E001;1155,85;3
0372425;A002;4540,17;1
0372425;B002;1191,46;3
0509159;A002;3576,3;5
0509159;E001;3065,45;5
0509159;A001;3763,05;3
0738504;E001;4162,97;1
0738504;C001;5663,51;5
0738504;A001;2077,91;4
0738504;B002;3403,13;3
0738504;D001;2054,73;3
0738504;B001;2732,92;6
0738504;A002;338,76;2
0738504;F001;13355,9;6
0660276;E001;2266,79;2
0660276;B002;1994,71;4
0660276;A002;3759,32;1
0660276;D001;7320,39;6
0660276;B001;3649,03;6
0660276;F001;291,2;5
0348547;B001;701,08;6
0348547;E001;1006,81;6
0348547;A001;1446,06;5
0348547;A002;3364,63;6
0348547;B002;964,83;4
0348547;F001;2589,21;3
0348547;C001;1217,11;5
0348547;D001;2417,8;1
0432071;D001;1441,3;2
0432071;B001;656,51;1
0432071;B002;3016,02;2
0432071;F001;16908,31;6
0432071;A002;1646,83;2
0432071;A001;4176,34;1
0432071;E001;989,01;5
0492938;F001;2979,37;5
0492938;C001;3113,07;5
0492938;A002;2477,15;2
0492938;B001;3174,75;1
0707051;E001;717,83;2
0707051;B001;1171,42;4
0707051;B002;1835,14;6
0707051;F001;3240,01;3
0707051;A002;302,73;1
0707051;D001;2356,5;1
0707051;A001;2026,79;6
0707051;C001;2879,83;2
0382409;A002;783,62;3
0382409;E001;679,88;4
0382409;A001;7150,16;3
0382409;B002;1140,28;3
0382409;D001;3288,33;6
0971082;A002;1822,48;5
0971082;E001;1061,05;6
0971082;C001;634,8;3
0971082;B002;963,56;3
0971082;B001;1833,06;4
0971082;A001;1435,63;5
0584549;B002;1841,47;6
0584549;D001;5810,79;4
0584549;C001;569,56;4
0584549;A002;1974,28;3
0626573;B002;589,99;6
0626573;A002;8693,41;5
0626573;B001;2488,06;3
0626573;C001;841,39;4
0626573;E001;10454,97;3
0640709;A001;1951,97;4
0640709;B002;997,59;3
0640709;C001;3397,59;6
0640709;A002;1277,81;3
0640709;E001;2056;2
0640709;D001;1466,69;2
0640709;B001;1418,26;5
0630040;B002;3419,78;4
0630040;D001;1320,05;6
0630040;C001;2293,83;4
0630040;B001;3372,96;4
0980013;F001;820,21;1
0980013;A001;654,47;1
0980013;C001;8798,05;6
0424092;E001;1337,12;1
0424092;A001;1057,06;4
0424092;A002;1315,51;4
0424092;C001;3275,23;2
0329880;C001;1524,74;5
0329880;A001;1686,87;6
0329880;D001;1196,77;5
0329880;B002;2724,95;5
0329880;E001;2308,6;3
0329880;F001;4799,13;2
0329880;B001;3393,22;5
0329880;A002;1073,24;3
0636898;A002;1122,88;3
0636898;F001;108,57;3
0636898;B001;4018,52;2
0636898;B002;5270,7;6
0424483;D001;4336,35;1
0424483;E001;5762,91;5
0424483;A002;3041,2;6
0271317;C001;3819,55;6
0271317;B001;2414,58;1
0271317;F001;1812,88;1
0271317;B002;14561,24;1
0271317;A002;1070,76;2
0824121;A001;918,25;4
0824121;D001;2562,87;3
0824121;C001;418,34;2
0824121;A002;2795,93;3
0824121;B002;1708,38;1
0824121;F001;3586,42;2
0824121;B001;1249,52;1
0824121;E001;592,45;5
0913003;F001;781,45;2
0913003;B001;7382,76;3
0913003;B002;2071,7;3
0913003;D001;2973,67;5
0913003;E001;2967,21;6
0913003;A001;1879,63;4
0913003;C001;1135;3
0913003;A002;476,15;6
0851711;F001;1757,43;5
0851711;B001;566,89;3
0851711;B002;2250,93;4
0851711;D001;2667,19;2
0851711;E001;2698,03;6
0851711;A001;583,54;4
0387885;E001;1368,82;6
0387885;B002;3945,6;1
0387885;D001;2657,08;2
0387885;A001;270,17;5
0387885;A002;1358,48;3
0387885;C001;390,54;4
0178429;C001;1038,27;1
0178429;E001;1350,61;3
0178429;D001;1034,81;5
0178429;F001;1379,44;1
0178429;A002;788,2;6
0178429;A001;805,72;2
0178429;B002;3182,58;1
0178429;B001;4425,68;4
0196096;F001;1621,34;6
0196096;B002;793,5;4
0196096;D001;1990,61;4
0196096;A001;7999,99;5
0298584;F001;4454,6;3
0298584;C001;1907,23;2
0298584;B001;868,95;3
0298584;D001;760,65;1
0298584;B002;4759,45;5
0298584;E001;1223,88;2
0298584;A001;818,77;5
0298584;A002;7153,04;4
0178229;A002;2669,35;2
0178229;C001;5185,06;5
0178229;A001;4157,17;3
0178229;D001;2272,46;6
0800279;B002;644,13;1
0800279;A002;1644,31;1
0800279;B001;444,07;3
0800279;D001;2409,51;2
0800279;A001;1133,11;2
0800279;C001;1128,37;1
0800279;F001;955,86;5
0800279;E001;4704,69;4
0283642;A001;5291,43;5
0283642;D001;3544,16;1
0283642;F001;475,06;3
0283642;E001;151,64;6
0736602;E001;9726,15;4
0736602;B001;1222,88;4
0736602;F001;1513,09;1
0297022;B001;697,64;6
0297022;C001;1154,69;5
0297022;F001;2467,2;5
0297022;E001;634,82;5
0297022;B002;3139,74;6
0297022;A002;4315,05;2
0219951;A002;2754,27;6
0219951;B002;10674,17;3
0219951;E001;3174,25;4
0449063;E001;2290,06;3
0449063;B001;3007,94;4
0449063;B002;722,91;3
0401591;B002;1165,65;3
0401591;C001;4002,14;4
0401591;D001;2715,13;4
0401591;E001;2073,93;4
0859047;F001;2049,02;3
0859047;D001;1777,78;6
0859047;E001;2402,83;5
0859047;B001;325,8;3
0859047;A001;551,88;1
0859047;A002;1314,29;1
0859047;B002;1854,9;6
0859047;C001;2769,53;3
0439246;C001;4079,71;4
0439246;B002;1430,2;4
0439246;A002;927,38;1
0439246;E001;1648,37;3
0439246;F001;6372,85;4
0439246;B001;22845,97;1
0702387;C001;7504,74;2
0702387;D001;999,34;3
0702387;A001;736,85;1
0702387;A002;6509,93;2
0702387;F001;646,68;4
0702387;B002;5296,58;4
0702387;B001;1719,37;1
0702387;E001;3363,73;4
0750786;B002;2254,83;6
0750786;F001;2165,18;4
0750786;B001;330,4;2
0750786;A002;8418,09;6
0750786;C001;4536,56;1
0750786;A001;815,17;6
0750786;E001;638,97;2
0815305;F001;560,47;2
0815305;B002;3438,05;1
0815305;B001;570,01;2
0815305;D001;1683,78;1
0773283;B002;837,39;5
0773283;A002;2886,94;2
0773283;C001;988,55;1
0773283;B001;441,48;2
0773283;D001;576,57;5
0361255;F001;2750,09;5
0361255;B002;5915,65;5
0361255;E001;2792,3;6
0361255;A001;2509,15;3
0361255;D001;1041,76;6
0361255;C001;1175,16;6
0361255;B001;771,09;3
0390784;E001;7634,48;1
0390784;C001;2039,86;5
0390784;D001;2064,22;3
0390784;A001;828,66;2
0390784;B001;1070,8;3
0390784;B002;1303,44;1
0638425;D001;697,42;1
0638425;A002;3020,65;6
0638425;E001;1457,01;5
0638425;B002;9475,95;1
0119688;D001;2547;4
0119688;B001;3777,05;2
0119688;F001;298,03;6
0119688;C001;2121,2;4
0443927;C001;5900,09;4
0443927;A002;7600,75;2
0443927;F001;4278,04;1
0443927;B002;810,81;4
0443927;E001;2805,95;4
0443927;B001;3804,9;4
0443927;A001;1625,3;2
0443927;D001;658,27;5
0128514;A002;1815,03;1
0128514;B002;5062,28;3
0128514;E001;1299,22;4
0128514;B001;7877,93;2
0256316;B002;2377,19;5
0256316;C001;2289,86;6
0256316;E001;1309,81;5
0256316;F001;4432,76;2
0256316;A002;1327,43;4
0681997;E001;1089,42;1
0681997;A001;1757,02;5
0681997;A002;2670,15;1
0681997;F001;3967,68;1
0152426;B002;386,67;3
0152426;F001;788,99;3
0152426;B001;1286,29;5
0152426;A002;676,46;2
0485835;F001;2855,73;2
0485835;A002;3603,94;6
0485835;C001;3964,67;4
0251356;A001;6054,71;3
0251356;E001;2739,13;2
0251356;F001;1053,08;1
0251356;D001;3333,56;2
0251356;B002;4329,61;5
0251356;A002;1368,1;6
0461718;B001;4414,62;5
0461718;A002;1672,9;2
0461718;B002;3634,19;1
0461718;D001;1891,81;2
0461718;F001;5130,85;5
0272690;F001;891,8;2
0272690;E001;3763,27;4
0272690;D001;4981,73;6
0272690;A001;1060,6;3
0109926;C001;2955,6;6
0109926;B002;3654,3;1
0109926;E001;734,13;2
0109926;B001;8307,59;1
0109926;A002;3748,47;3
0109926;D001;1807,88;1
0109926;A001;3523,82;6
0390618;B002;1642,08;3
0390618;A002;3925,52;4
0390618;A001;4488,49;5
0390618;E001;961,96;6
0390618;F001;2833,41;5
0390618;B001;2098,27;1
0390618;D001;1370,57;6
0915361;A002;1386,08;2
0915361;B002;1435,52;4
0915361;D001;1703,87;3
0915361;E001;2049,73;1
0915361;F001;5768,74;4
0915361;C001;1471,34;6
0915361;B001;1455,18;1
0915361;A001;1124,03;5
0628444;A001;26647,25;2
0628444;D001;1445,87;1
0628444;E001;1250,65;3
0628444;F001;861,17;6
0300905;B001;3085,77;4
0300905;E001;1670,19;1
0300905;A001;2518,9;4
0300905;D001;848,19;1
0300905;A002;1184,45;6
0323826;C001;622,79;1
0323826;E001;801,72;4
0323826;B001;1462,37;4
0323826;B002;1101,6;2
0323826;D001;1407,6;1
0323826;A001;1092,17;3
0593157;E001;3397,09;2
0593157;B002;401,93;5
0593157;B001;5748,16;3
0593157;A001;3680,7;4
0593157;D001;975,76;3
0593157;F001;929,23;6
0770338;E001;802,3;4
0770338;A002;2972,34;4
0770338;A001;711,01;1
0770338;D001;10552,88;5
0770338;B001;1258,44;4
0769201;D001;1758,96;5
0769201;C001;1041,56;1
0769201;A001;1645,91;6
0769201;B001;2892,67;5
0815034;A002;2376,18;6
0815034;F001;2044,52;3
0815034;C001;2595,42;6
0289595;F001;4167,3;4
0289595;D001;1813,39;2
0289595;E001;886,98;6
0289595;A002;2303,26;3
0289595;C001;1999,69;4
0820751;F001;765,07;4
0820751;A002;7169,34;3
0820751;A001;1045,59;1
0820751;E001;1805,15;6
0820751;D001;1256,56;4
0820751;B001;2008,76;6
0820751;C001;13032,03;4
0570316;D001;1135,93;1
0570316;E001;1781,73;4
0570316;A001;1769,01;2
0570316;B001;2852,37;6
0570316;A002;1417;4
0570316;F001;1381,23;1
0570316;B002;611,91;1
0570316;C001;4891,39;1
0481118;E001;4910,36;6
0481118;A002;3263,14;5
0481118;B002;3858,76;5
0481118;B001;4578,51;2
0205868;E001;2971,92;4
0205868;B001;4811,46;5
0205868;F001;196,85;5
0205868;B002;1196,87;3
0205868;A002;1405,39;5
0205868;D001;4346,93;2
0769859;B001;10995,81;3
0769859;F001;1834,9;3
0769859;C001;3038,06;1
0769859;B002;1422,76;2
0769859;E001;10663,8;6
0769859;A002;5126,57;3
0769859;A001;1124,28;3
0768822;C001;1519,78;3
0768822;A001;2100,85;1
0768822;B001;1425,25;6
0768822;E001;1495,29;2
0768822;F001;941,42;1
0950177;E001;1361,15;5
0950177;C001;520,75;3
0950177;B001;1208,17;6
0950177;B002;908,32;4
0950177;A002;3298,19;2
0950177;F001;2229,05;4
0950177;D001;1087,18;3
0266501;A001;6258,36;2
0266501;D001;4429,24;4
0266501;A002;1514,68;4
0520722;A001;2150,04;4
0520722;E001;1174,11;1
0520722;C001;3362,17;3
0873316;C001;4810,8;5
0873316;F001;330,8;6
0873316;E001;1505,09;4
0496697;C001;1313,12;6
0496697;A001;1433,1;4
0496697;B002;2090,98;5
0350412;A001;1932,96;2
0350412;E001;1574,99;2
0350412;C001;7925,92;6
0350412;A002;447,33;2
0350412;D001;2005,84;1
0350412;B002;4613,88;6
0350412;F001;959,39;3
0350412;B001;1203,31;6
0942995;F001;526,13;4
0942995;E001;2003,83;3
0942995;C001;3509,76;5
0942995;B001;2673,94;2
0942995;A002;1552,8;6
0942995;A001;294,91;3
0951969;A001;832,56;6
0951969;B002;3635,26;4
0951969;F001;979;1
0951969;C001;5426,08;2
0805124;A002;5085,57;5
0805124;B001;1641,61;4
0805124;E001;2967,6;5
0381868;B002;2263,22;6
0381868;F001;4815,92;2
0381868;C001;4772,93;4
0516936;F001;2890,14;2
0516936;B002;3861,29;5
0516936;B001;1182,97;3
0516936;A002;9883,67;1
0516936;E001;1088,95;1
0846230;E001;853,78;5
0846230;A002;3170,43;1
0846230;B002;2888,51;4
0846230;C001;793,11;5
0846230;F001;1881,3;5
0846230;B001;1858,44;5
0846230;A001;2452;3
0926162;E001;2832,04;6
0926162;C001;959,11;6
0926162;B002;3320,76;6
0673250;D001;2846,48;5
0673250;E001;1345,93;5
0673250;C001;9991,59;6
0801999;E001;3481,23;6
0801999;B002;2445,73;2
0801999;A002;3937,92;6
0801999;A001;1624,91;4
0801999;B001;608,04;4
0801999;C001;1013,3;4
0896750;B002;7447,92;5
0896750;F001;5281,12;5
0896750;D001;533,24;1
0896750;A002;842,68;3
0907857;B002;13789,84;1
0907857;C001;1921,18;3
0907857;B001;1508,03;3
0284253;C001;2696,92;2
0284253;F001;2334,71;6
0284253;D001;1430,4;2
0284253;E001;967,72;1
0284253;B002;307,75;2
0284253;B001;1141,61;4
0284253;A001;4835,13;4
0284253;A002;1731,44;3
0754749;B001;1335,97;3
0754749;C001;6175,47;3
0754749;F001;1798,39;6
0754749;E001;6100,1;5
0754749;A002;4178,09;5
0754749;A001;1250,4;4
0260037;F001;829,76;1
0260037;A002;2500,88;6
0260037;A001;446,88;2
0260037;B001;2137,05;4
0260037;D001;1213,48;6
0260037;C001;7896,39;3
0260037;E001;1100,7;2
0573043;B002;2268,47;1
0573043;A002;1520,17;2
0573043;E001;860,15;5
0573043;C001;4538,45;6
0573043;F001;597,36;4
0573043;A001;3191,1;5
0573043;B001;5804,81;2
0496208;C001;2136,93;3
0496208;D001;2680,24;5
0496208;F001;5861,55;4
0496208;A001;2001,31;4
0729688;A002;1871,51;6
0729688;D001;633,49;5
0729688;F001;1021,81;1
0729688;C001;832,95;3
0633481;C001;1768,59;1
0633481;E001;6349,71;5
0633481;A002;760,6;2
0633481;A001;593,3;5
0633481;F001;6976,03;5
0633481;B001;4938,48;4
0633481;B002;1541,72;4
0633481;D001;944,71;5
0847612;D001;3599,87;2
0847612;E001;1619,74;6
0847612;A002;2424,28;3
0847612;A001;2143,55;4
0847612;F001;4049,52;6
0847612;B002;5369,82;6
0847612;B001;7619,29;3
0847612;C001;11783,52;3
0748064;F001;2168,26;2
0748064;A002;6921,33;5
0748064;E001;1099,02;5
0748064;A001;2395,25;3
0748064;B001;1719,31;5
0748064;C001;3722,08;1
0748064;D001;4344,45;2
0748064;B002;2298,05;6
0380985;A002;1896,66;5
0380985;E001;632,21;2
0380985;A001;2288,67;5
0380985;B002;1498,57;1
0187769;B001;3002,26;2
0187769;B002;1060,28;2
0187769;C001;1714,36;4
0187769;A002;1273,74;5
0187769;F001;2344,85;1
0187769;E001;2602,96;1
0187769;A001;893,07;2
0187769;D001;5685,77;2
0202474;B002;1387,67;2
0202474;F001;1878,08;3
0202474;B001;4495,97;1
0202474;C001;3576,42;5
0202474;E001;2168,75;1
0202474;A002;2421,74;2
0328846;C001;3631,2;4
0328846;B001;1910,44;3
0328846;A002;1781,4;1
0328846;F001;2227,77;1
0328846;A001;2666,64;5
0328846;B002;3016,28;5
0328846;D001;1314,78;5
0272114;A001;4176,87;2
0272114;E001;3061,09;5
0272114;F001;1163,07;3
0272114;B002;3438,73;5
0272114;D001;1931,44;2
0354309;E001;2148,81;4
0354309;A001;613,91;1
0354309;F001;3571,12;3
0184168;B002;749,47;2
0184168;B001;734,02;1
0184168;E001;3158,49;3
0184168;A002;11614,96;2
0184168;A001;2052,15;1
0184168;D001;2617,09;2
0184168;F001;4986,25;3
0184168;C001;7980,22;1
0755000;A002;733,49;1
0755000;C001;631,47;5
0755000;D001;2337,02;2
0755000;E001;4213,38;2
0179917;E001;10181,06;4
0179917;F001;2472,84;5
0179917;D001;6408,86;3
0179917;A001;2198,05;5
0179917;B002;1660,25;4
0218365;E001;1330,46;1
0218365;F001;2264,51;3
0218365;A002;1332,94;4
0218365;B001;475,62;1
0218365;A001;3076,36;6
0690879;E001;4524,64;4
0690879;D001;2278,51;1
0690879;B001;2366,95;5
0442873;E001;974,06;6
0442873;B001;738,26;6
0442873;C001;5111,41;5
0442873;A002;2443,6;2
0442873;B002;433,53;1
0442873;F001;3137,99;6
0442873;A001;861,66;1
0442873;D001;1911,06;1
0847799;B001;1304,2;6
0847799;A001;3388,87;4
0847799;F001;696,07;4
0847799;B002;2326,02;6
0847799;E001;1253,68;4
0847799;C001;15363,76;1
0578245;F001;932,77;6
0578245;E001;3734,91;5
0578245;B001;1885,22;4
0578245;B002;12089,27;4
0578245;D001;816,35;4
0578245;C001;732,86;2
0578245;A001;2695,78;3
0578245;A002;1380,86;3
0687852;B002;1028,82;3
0687852;D001;14190,39;1
0687852;C001;2743,81;4
0687852;A002;1976,68;6
0687852;A001;464;2
0687852;B001;1683,21;1
0687852;E001;1506,49;3
0687852;F001;2970,22;4
0620014;D001;1767,96;4
0620014;B002;4026,63;1
0620014;E001;1114,53;5
0620014;A002;612,23;5
0620014;B001;1942,52;3
0620014;F001;2141,71;3
0620014;A001;5013,13;2
0620014;C001;763,14;2
0660722;A002;5201,52;2
0660722;E001;1915,44;1
0660722;F001;1116,17;4
0660722;D001;5534,02;3
0909967;A001;667,58;3
0909967;A002;947,74;2
0909967;B002;3143,18;3
0909967;D001;2897,96;2
0909967;B001;940,75;2
0909967;F001;3719,28;4
0909967;E001;904,77;4
0439850;F001;490,46;1
0439850;A002;4077,31;3
0439850;D001;1452,73;6
0439850;E001;4196,73;5
0439850;A001;1323,71;6
0173391;E001;797,99;1
0173391;A001;1468,13;2
0173391;F001;2212,87;4
0173391;D001;1645,09;4
0201342;F001;1213,52;4
0201342;A001;3273,84;2
0201342;B002;1592,38;6
0201342;E001;1564,56;4
0201342;A002;8485,61;6
0201342;B001;3052,31;3
0201342;D001;2965,06;3
0278491;F001;1720,47;3
0278491;D001;457,29;4
0278491;A001;1711,11;6
0278491;B002;1690,82;5
0278491;B001;960,39;2
0278491;C001;517,12;1
0918884;D001;8311,4;3
0918884;C001;1043,98;3
0918884;A001;1470,73;1
0491908;A002;1941,04;1
0491908;F001;2058,34;3
0491908;A001;2160,29;4
0491908;B001;6612,32;3
0511720;B001;1324,88;4
0511720;A002;8876,42;6
0511720;F001;2648,07;1
0511720;C001;728,54;5
0947783;B001;1869,5;6
0947783;C001;1323,64;3
0947783;A002;1545,62;5
0947783;F001;2896,27;5
0947783;A001;1044,16;4
0947783;D001;4191;3
0947783;B002;948,92;1
0455885;D001;13701,32;6
0455885;B002;6903,87;4
0455885;A002;415,54;2
0523208;F001;440,13;3
0523208;B002;1845,13;1
0523208;D001;2429,48;6
0523208;E001;4399,64;1
0523208;A002;1117,6;2
0143295;F001;4699,58;5
0143295;A001;1649,39;1
0143295;A002;5743,53;4
0143295;B002;8968,1;5
0143295;D001;1238,11;5
0447622;B002;1132,14;4
0447622;F001;1312,09;2
0447622;A001;1028,31;3
0447622;D001;3648,41;4
0149625;A002;1735,55;4
0149625;E001;4961,82;4
0149625;B002;527,62;1
0149625;C001;1143,26;5
0149625;B001;3333,04;2
0149625;A001;2937,95;6
0961508;D001;1010,79;1
0961508;F001;1962,07;5
0961508;E001;2231,41;6
0961508;A001;1066,81;1
0961508;B002;2275,95;2
0961508;A002;1251,21;6
0961508;C001;2238,65;6
0961508;B001;2377,53;6
0141767;B002;4536,93;2
0141767;D001;1415,2;4
0141767;B001;5194,83;3
0141767;A001;1691,03;5
0701088;C001;5444,77;2
0701088;E001;613,06;6
0701088;B002;350,75;6
0701088;B001;2500,63;3
0701088;D001;986,6;4
0701088;F001;803,5;3
0701088;A001;1836,75;4
0572529;E001;2818,93;4
0572529;F001;1244,98;1
0572529;A001;5726,11;3
0572529;B002;1515,6;3
0572529;C001;443,52;4
0572529;A002;1127,47;2
0161814;A002;8269,64;6
0161814;C001;485,27;4
0161814;E001;2482,72;1
0161814;A001;1560,08;3
0161814;B001;4783,33;5
0161814;F001;652,73;3
0161814;D001;1056,47;5
0161814;B002;1333,64;2
0587436;C001;4107,49;2
0587436;E001;919,26;6
0587436;A002;748;6
0431091;F001;641,15;1
0431091;B002;1687,58;1
0431091;A002;3467,9;4
0431091;B001;2704,27;6
0431091;D001;8505,69;6
0431091;E001;2162,32;1
0762127;D001;2750,56;3
0762127;F001;2333,41;4
0762127;E001;933,39;2
0762127;A002;1390,02;6
0762127;B002;760,37;3
0109628;F001;5929,95;2
0109628;C001;1135,15;3
0109628;B002;2440,64;6
0109628;A002;2885,27;1
0109628;A001;2985,94;4
0109628;B001;3562,74;5
0109628;D001;945,92;2
0109628;E001;9596,55;2
0473022;D001;1568,3;4
0473022;F001;3760,26;4
0473022;B002;11800,3;1
0473022;E001;3871,36;1
0473022;B001;1477,89;6
0473022;A001;1456,6;2
0473022;A002;843,7;2
0473022;C001;373,04;4
0843837;A001;1427,12;1
0843837;E001;2352,65;5
0843837;C001;1112,89;1
0843837;B002;2938,15;4
0843837;A002;6729,99;3
0843837;B001;2103,65;1
0890247;C001;7281,5;1
0890247;A001;7863,7;4
0890247;D001;985,18;1
0890247;F001;16004,89;3
0890247;A002;645,26;2
0890247;E001;1865,25;5
0703657;B001;4768,63;2
0703657;A001;682,16;3
0703657;E001;1107,4;6
0703657;B002;1457,83;4
0703657;F001;3216,43;4
0703657;D001;1675,83;4
0360131;E001;387,44;2
0360131;F001;1099,04;3
0360131;B001;6103,96;5
0360131;C001;4186,63;6
0360131;A002;9423,07;4
0360131;A001;750,7;6
0258653;D001;3116,38;6
0258653;C001;2514,25;4
0258653;B001;8661,9;6
0258653;A001;3523,9;2
0258653;E001;389,66;5
0190610;B002;1538,69;2
0190610;A001;1284,32;5
0190610;C001;726,21;1
0924476;F001;1090,8;3
0924476;B002;1448,68;2
0924476;E001;10633,18;1
0924476;B001;2640,12;1
0924476;A002;2880,81;1
0924476;A001;535,36;4
0924476;D001;1099,06;3
0924476;C001;3373,01;4
0626640;A001;2661,3;3
0626640;B002;1613,27;3
0626640;A002;668,46;6
0626640;D001;1066,49;6
0626640;F001;2637,59;3
0626640;E001;3601,32;2
0204549;F001;2750,46;5
0204549;B001;1618,33;3
0204549;C001;691,17;3
0204549;A001;3608,19;6
0777820;E001;2576,17;5
0777820;F001;1898,3;2
0777820;A001;2893,5;3
0777820;D001;566,98;3
0238120;A002;1550,22;4
0238120;F001;541,77;1
0238120;D001;5817,42;1
0238120;E001;5424,1;1
0238120;C001;1418,14;5
0371461;A002;4429,98;4
0371461;B001;1251,67;3
0371461;B002;1113,02;2
0371461;F001;1918,04;4
0371461;C001;2392,31;6
0371461;D001;2278,14;2
0335255;F001;1665,53;2
0335255;C001;2287,26;2
0335255;A002;1929,31;6
0335255;B002;4435,8;5
0341040;C001;789,15;3
0341040;B001;763,61;3
0341040;A001;1085,33;4
0341040;B002;6500,37;2
0341040;F001;10523,14;5
0341040;E001;1518,18;6
0341040;A002;1730,02;5
0341040;D001;707,84;3
0881072;C001;1751,25;4
0881072;E001;290,86;2
0881072;A002;3036,3;3
0881072;D001;3018,1;4
0881072;F001;1359,85;6
0881072;A001;958,1;4
0881072;B002;2964,62;4
0881072;B001;1035,66;2
0669279;B002;3223,56;2
0669279;A002;969,29;3
0669279;E001;2982,86;5
0669279;C001;1742,9;4
0669279;D001;703,28;5
0669279;F001;6705,28;1
0669279;A001;505,89;6
0669279;B001;864,36;2
0321301;A002;3469,21;3
0321301;B002;585,68;4
0321301;F001;1316,48;4
0321301;A001;1585,7;6
0321301;B001;18470,5;3
0189925;B001;7527,42;5
0189925;A002;1299,54;4
0189925;A001;504,4;6
0189925;D001;1056,3;6
0721168;A001;1153,58;2
0721168;B002;1364,1;2
0721168;C001;1006,25;4
0875687;C001;1107,32;2
0875687;F001;3817,65;5
0875687;D001;5363,99;6
0875687;A002;10290,01;2
0875687;B001;3336,18;4
0875687;A001;698,2;6
0172484;A001;241,12;6
0172484;B002;7325,77;6
0172484;B001;635,74;4
0172484;E001;3101,69;5
0172484;F001;2635,71;1
0172484;C001;587,13;6
0172484;A002;3098,89;1
0336383;E001;3870,99;5
0336383;F001;1476,3;4
0336383;D001;1374,08;6
0336383;C001;9316,34;6
0336383;B001;2150,5;2
0336383;B002;1304,99;5
0336383;A002;2410,59;5
0336383;A001;3219,05;5
0914710;B002;1429,62;4
0914710;A002;1028,01;1
0914710;F001;986,44;2
0914710;A001;1626,33;5
0366105;E001;1484,73;5
0366105;B001;2597,72;2
0366105;A001;3151,17;1
0366105;C001;1140,94;3
0274549;E001;1180,27;5
0274549;F001;1460,34;4
0274549;A001;2324,72;1
0274549;D001;783,53;6
0274549;B002;4382,11;2
0274549;B001;3505,08;3
0165393;F001;324,17;5
0165393;D001;1219,61;6
0165393;C001;4274,89;6
0165393;A002;1764,53;6
0394943;B001;8193,16;1
0394943;A002;2219,28;3
0394943;A001;1796,04;5
0394943;F001;1308,38;6
0682309;A001;885,36;2
0682309;B001;1433,68;4
0682309;E001;1320,03;6
0682309;A002;2276,49;6
0682309;F001;878,08;3
0141534;B001;4124,01;6
0141534;F001;851,25;1
0141534;C001;812,38;4
