folioviv,entidad,nom_ent,tam_loc,tot_integ,ing_cor,gasto_mon,factor
0573043,16,Michoacán de Ocampo,2,3,84191.72,60711.65,805
0496208,31,Yucatán,1,7,83878.8,75806.32,1089
0729688,22,Querétaro,3,3,76709.2,66342.77,445
0633481,19,Nuevo León,1,3,95520.43,104210.41,164
0847612,16,Michoacán de Ocampo,1,4,153081.53,137651.48,1154
0748064,19,Nuevo León,2,5,56520.79,34915.4,316
0380985,19,Nuevo León,2,5,121785.86,90447.83,1194
0187769,19,Nuevo León,3,1,40187.57,27426.37,226
0202474,22,Querétaro,2,4,42771.52,42440.51,1194
0328846,09,Ciudad de México,1,5,57707.06,44698.27,995
0272114,09,Ciudad de México,3,3,,32037.32,1205
0354309,19,Nuevo León,4,3,19600.5,23650.93,439
0184168,16,Michoacán de Ocampo,1,4,36251.75,27566.89,995
0755000,19,Nuevo León,3,1,35503.45,32849.79,400
0179917,22,Querétaro,2,6,137380.72,109533.9,190
0218365,20,Oaxaca,3,1,62508.77,43090.47,559
0690879,20,Oaxaca,3,4,31449.23,30577.52,428
0442873,09,Ciudad de México,4,4,48790.75,52739.27,383
0847799,20,Oaxaca,1,5,63123.01,47388.29,515
0578245,19,Nuevo León,2,3,85069.2,48110.85,1090
0687852,22,Querétaro,1,3,30271.66,31807.53,554
0620014,19,Nuevo León,4,4,64598.78,56165.38,178
0660722,20,Oaxaca,9,4,70139.81,65623.71,118
0909967,31,Yucatán,3,1,41869.5,60277.43,1055
0439850,22,Querétaro,3,2,27747.3,29773.63,690
0173391,16,Michoacán de Ocampo,2,5,49044.95,44865.11,1270
0201342,09,Ciudad de México,1,3,53846.48,42767.78,157
0278491,31,Yucatán,2,5,26015.18,27023.2,520
0918884,20,Oaxaca,3,2,37065.65,35716.69,235
0491908,09,Ciudad de México,3,6,52069.74,38605.01,208
0511720,31,Yucatán,2,3,26090.42,31733.77,1236
0947783,22,Querétaro,1,4,68370.63,56067.86,271
0455885,22,Querétaro,1,4,102281.53,68663.56,953
0523208,31,Yucatán,4,5,64942.08,57719.78,104
0143295,31,Yucatán,1,1,46619.53,65941.68,1214
0447622,16,Michoacán de Ocampo,1,6,66943.27,66348.5,260
0149625,20,Oaxaca,2,5,67463.57,51622.98,449
0961508,19,Nuevo León,1,5,222644.84,229528.96,200
0141767,22,Querétaro,2,2,65414.92,74297.12,796
0701088,20,Oaxaca,3,2,59067.68,50330.15,1046
0572529,09,Ciudad de México,1,4,27795.71,24993.18,107
0161814,19,Nuevo León,1,1,48362.18,39777.9,1137
0587436,20,Oaxaca,3,1,37923.85,49756.91,1099
0431091,20,Oaxaca,4,2,45394.22,38646.32,1214
0762127,09,Ciudad de México,1,7,136572.87,86066.82,483
0109628,31,Yucatán,9,4,74057.35,53471.39,83
0473022,19,Nuevo León,2,3,35803.36,23888,661
0843837,20,Oaxaca,2,2,90857.53,101984.06,1313
0890247,19,Nuevo León,1,7,101796.97,59301.97,1360
0703657,22,Querétaro,2,3,40111.96,52104.4,94
0360131,20,Oaxaca,1,3,46721.72,64638,349
0258653,20,Oaxaca,3,1,23171.9,25438.51,961
0190610,19,Nuevo León,2,3,82873.27,71898.06,552
0924476,16,Michoacán de Ocampo,3,2,37796.56,31725.59,265
0626640,19,Nuevo León,2,4,72162.56,48057.27,825
0204549,31,Yucatán,2,1,73974.04,42724.57,864
0777820,19,Nuevo León,4,2,29385.18,24491.55,994
0238120,20,Oaxaca,1,4,111804.7,106798.44,648
0371461,19,Nuevo León,1,4,40968.68,46888.58,192
0335255,19,Nuevo León,1,5,52949.73,49211.7,1279
0341040,09,Ciudad de México,3,6,101775.57,100640.65,1150
0881072,19,Nuevo León,4,4,98960.11,99422.66,689
0669279,31,Yucatán,4,3,44712.88,56060.27,749
0321301,31,Yucatán,1,2,14209.13,14295.79,453
0189925,31,Yucatán,3,3,90973.07,79748.15,363
0721168,22,Querétaro,3,3,34583.43,40697,427
0875687,19,Nuevo León,1,4,34540.29,28309.53,833
0172484,09,Ciudad de México,1,3,102943.02,87734.1,509
0336383,19,Nuevo León,4,1,49150.76,42258.41,256
0914710,22,Querétaro,3,5,57879.61,54485.39,583
0366105,20,Oaxaca,1,3,51880.34,54528.72,957
0274549,16,Michoacán de Ocampo,2,2,35310.64,24799.63,416
0165393,22,Querétaro,1,2,39975.16,39127.68,1318
0394943,19,Nuevo León,1,2,80458.37,57758.52,503
0682309,19,Nuevo León,3,2,46541.58,51431.09,1274
0141534,16,Michoacán de Ocampo,1,3,130128.12,112014.86,855
0588763,16,Michoacán de Ocampo,1,5,252729.14,241629.33,1118
0255996,31,Yucatán,3,3,77059.1,107897.18,1054
0241858,31,Yucatán,9,2,58341.2,53998.65,611
0791729,09,Ciudad de México,9,5,105509.77,106197.5,486
0449847,31,Yucatán,2,3,43964.45,47187.98,179
0220222,09,Ciudad de México,3,3,82483.57,70475.1,971
0599189,20,Oaxaca,1,5,122831.57,112828.09,1255
0788508,19,Nuevo León,1,4,59593.51,31751.34,1116
0750662,20,Oaxaca,1,2,,20996.17,1320
0963153,16,Michoacán de Ocampo,3,6,29211.46,28751.31,1012
0313179,22,Querétaro,1,4,160120.76,134206.48,1326
0961894,09,Ciudad de México,1,2,117411.24,134817.27,1341
0548023,09,Ciudad de México,4,5,129378.83,86821.13,136
0528110,09,Ciudad de México,1,2,87712,81416.09,826
0301204,16,Michoacán de Ocampo,2,3,102960.71,114461.75,570
0543591,31,Yucatán,1,3,201256.89,137855.11,519
0554891,19,Nuevo León,1,3,83966.28,73706.54,1240
0949482,09,Ciudad de México,1,1,66305.43,47698.78,1365
0574515,16,Michoacán de Ocampo,1,3,179715.5,143535.01,937
0727613,20,Oaxaca,1,2,123544.13,90616.88,245
0177082,16,Michoacán de Ocampo,3,3,56722.57,33058.04,246
0569552,20,Oaxaca,3,3,174957.05,122616.11,1225
0619564,31,Yucatán,9,3,17504.44,13433.34,1063
0467677,16,Michoacán de Ocampo,1,4,43501.88,39611.96,766
0797285,09,Ciudad de México,4,4,25339.13,38312.48,648
0692026,31,Yucatán,1,3,42264.4,37230.91,749
0861702,31,Yucatán,1,5,48609.8,61687.63,757
0436531,20,Oaxaca,1,4,101676.24,75651.79,542
0419028,19,Nuevo León,1,3,122748.03,91355.78,1096
0162509,16,Michoacán de Ocampo,4,2,57320.69,50249.53,491
0394775,19,Nuevo León,3,5,110068.08,94639.81,1130
0295491,09,Ciudad de México,1,5,79756.83,54365.97,1065
0343922,31,Yucatán,1,4,80535.3,64586.25,1301
0953953,19,Nuevo León,3,5,26098.36,22516.77,1345
0836432,16,Michoacán de Ocampo,3,1,37388.21,33479.25,1124
0492394,22,Querétaro,1,6,52224.39,71700.97,267
0861732,31,Yucatán,1,2,77129.28,71305.18,506
0468451,22,Querétaro,1,3,101424.56,64480.22,537
0985271,31,Yucatán,2,4,47135.54,34374.89,380
0640670,22,Querétaro,1,3,,40038.01,458
0109886,31,Yucatán,1,3,90242.59,83659.31,486
0556973,20,Oaxaca,1,2,144465.95,109882.46,209
0741853,31,Yucatán,1,6,69050.5,67732.71,641
0573050,20,Oaxaca,1,5,30830.08,33160.46,280
0703999,16,Michoacán de Ocampo,1,2,68130.22,53020.68,453
0694322,31,Yucatán,1,3,37596,21124.43,1011
0105274,19,Nuevo León,2,5,18220.14,18914.52,1058
0333812,22,Querétaro,3,4,30520.52,33329.7,313
0118701,19,Nuevo León,1,3,57516.45,52376.46,777
0453909,31,Yucatán,2,1,26875.05,28003.5,147
0609032,09,Ciudad de México,4,1,41032.75,42102.54,580
0172777,19,Nuevo León,1,5,91446.95,74075.29,527
0697191,20,Oaxaca,2,3,55639.46,47404.23,1168
0840037,16,Michoacán de Ocampo,2,4,97888.35,71590.37,631
0256030,31,Yucatán,2,3,,28209.61,900
0194242,31,Yucatán,3,4,49702.76,47287.19,1367
0812102,31,Yucatán,1,1,,34595.85,478
0786632,22,Querétaro,2,6,48072.77,39758.36,1191
0355661,19,Nuevo León,2,3,143746.66,127218.19,804
0316762,31,Yucatán,1,2,138205.87,88941.18,1348
0419928,19,Nuevo León,4,4,58785.22,47700.16,315
0310303,22,Querétaro,4,3,29247.81,24317.59,774
0822779,31,Yucatán,2,2,77822.4,51358.62,1122
0477110,09,Ciudad de México,9,4,15201.21,14349.69,648
0269747,09,Ciudad de México,4,2,44608.07,50180.52,253
0348069,20,Oaxaca,2,3,74130.06,56065.58,543
0301770,31,Yucatán,2,2,78287.36,74281.65,986
0385604,09,Ciudad de México,1,4,63591.61,44319.33,176
0662182,31,Yucatán,1,6,95281.67,107935.84,654
0431582,20,Oaxaca,2,3,102938.65,69259.05,404
0600003,22,Querétaro,4,3,36165.22,35280.58,136
0676252,20,Oaxaca,2,2,79152.97,61166.83,103
0382918,31,Yucatán,2,7,78283.89,60627.79,690
0995444,22,Querétaro,1,3,26251.8,33838.64,325
0534126,31,Yucatán,4,2,17325,27737.75,870
0435960,20,Oaxaca,1,5,101215.88,77856.37,92
0178456,20,Oaxaca,2,4,92320.53,60243.64,1009
0496743,20,Oaxaca,1,3,37885.63,31933.7,155
0661177,16,Michoacán de Ocampo,2,4,69185.41,62969.29,122
0321797,09,Ciudad de México,1,4,138892.4,79182.29,1063
0526322,09,Ciudad de México,2,4,164429.17,106819.87,1057
0621686,31,Yucatán,1,4,99864.02,67176.08,801
0865758,22,Querétaro,3,5,53190.54,49037.06,1298
0160749,09,Ciudad de México,1,4,76614.16,60773.99,439
0710468,31,Yucatán,1,5,143183.68,123313.64,169
0620643,19,Nuevo León,3,3,45933.82,44397.54,641
0353600,31,Yucatán,9,2,32773.27,23633.47,1377
0289517,16,Michoacán de Ocampo,1,5,73746.79,76190.86,991
0418184,19,Nuevo León,1,2,167158.19,151883.6,819
0715709,22,Querétaro,2,7,33054.04,24704.66,614
0700167,09,Ciudad de México,1,2,71104.78,47120.3,307
0395591,20,Oaxaca,3,6,60185.28,48076.89,343
0428610,19,Nuevo León,2,3,42795.28,66265.31,96
0904295,31,Yucatán,1,5,104633.08,93892.49,483
0405224,16,Michoacán de Ocampo,1,3,124062.74,137972.27,1139
0321593,31,Yucatán,2,3,82570.89,42412.7,226
0685358,16,Michoacán de Ocampo,1,2,97966.76,76554.28,503
0584251,09,Ciudad de México,1,3,62259.93,73091.29,1218
0251239,20,Oaxaca,1,2,58218.77,46577.33,1224
0804204,09,Ciudad de México,1,4,126936.88,122163.47,1253
0495103,16,Michoacán de Ocampo,3,1,34141.66,36676.61,1079
0276928,22,Querétaro,1,4,92570.58,93644.17,1303
0606318,31,Yucatán,3,1,65066.76,59739.03,410
0870791,31,Yucatán,1,5,109210.37,70053.74,221
0407580,09,Ciudad de México,2,5,56887.19,48636.88,1198
0211965,22,Querétaro,1,4,64207.63,98020.06,1398
0327267,31,Yucatán,1,5,37263.19,33955.04,784
0247243,22,Querétaro,3,2,12459.35,12287.78,274
0152912,31,Yucatán,1,4,34653.25,33332.4,261
0781161,09,Ciudad de México,9,1,184455.45,170129.08,523
0961766,22,Querétaro,1,4,115735.56,115015.84,179
0768412,16,Michoacán de Ocampo,2,3,63860.99,56128.79,471
0624617,09,Ciudad de México,1,1,71270.11,54036.85,1200
0572483,19,Nuevo León,4,5,16069.09,20862.54,126
0335880,16,Michoacán de Ocampo,2,1,39631.39,31573.42,956
0999457,22,Querétaro,2,4,166864.84,114765.88,1038
0154138,16,Michoacán de Ocampo,4,1,53374.6,39573.54,868
0174291,31,Yucatán,1,4,54883.31,33796.77,1173
0425631,09,Ciudad de México,4,4,40793.89,45519.87,862
0887590,31,Yucatán,3,5,40475.66,28450.73,500
0294115,09,Ciudad de México,2,7,128459.85,76175.51,943
0434513,20,Oaxaca,3,2,50032.58,43860.92,1000
0657550,19,Nuevo León,1,4,19824.76,24324.13,510
0982627,20,Oaxaca,3,2,43687.47,45473.27,426
0612211,19,Nuevo León,2,2,47912.84,35587.49,1267
0605823,20,Oaxaca,3,7,22504.8,29230.96,607
0188704,20,Oaxaca,3,2,38971.31,30285.03,1227
0296371,09,Ciudad de México,4,4,44415.61,40980.58,161
0247218,09,Ciudad de México,4,3,18539.81,22228.39,774
0880846,09,Ciudad de México,3,2,51384.8,39099.85,344
0241293,22,Querétaro,1,2,107740.52,96594.88,230
0595898,20,Oaxaca,1,4,82181.08,76867.8,561
0269143,16,Michoacán de Ocampo,1,2,141118.85,124244.13,347
0778076,19,Nuevo León,1,1,148110.97,157130.05,828
0224293,20,Oaxaca,4,1,13278.47,11926.6,1353
0601834,31,Yucatán,3,3,143429.72,165324.92,147
0478152,22,Querétaro,3,3,39947.8,31846.99,729
0424547,31,Yucatán,1,4,66243.6,44474.84,454
0544481,19,Nuevo León,3,4,101604.63,52887.88,1263
0741778,31,Yucatán,2,2,64967.19,36254.46,949
0692535,31,Yucatán,1,2,34634.39,21832.48,270
0778714,16,Michoacán de Ocampo,3,6,73461.95,52380.87,495
0636089,16,Michoacán de Ocampo,3,1,67678.19,61454.88,984
0612437,22,Querétaro,3,2,58562.4,69901.19,140
0218840,20,Oaxaca,1,3,68210.84,61123.94,1143
0577772,31,Yucatán,2,2,71368.82,69846.45,510
0375587,09,Ciudad de México,1,3,111437.69,100469.89,1111
0859680,09,Ciudad de México,4,2,30763.12,26980.81,491
0680442,19,Nuevo León,4,3,20702.47,25573.48,207
0735660,19,Nuevo León,4,1,91173.13,51309.11,1217
0256349,19,Nuevo León,4,3,11122.23,9414.57,496
0833953,22,Querétaro,4,2,69777.3,63063.74,1268
0235578,09,Ciudad de México,1,6,85142.44,60191.5,426
0504584,16,Michoacán de Ocampo,4,3,62291.02,62752.09,707
0238902,09,Ciudad de México,1,1,55454.55,70306.63,262
0982248,19,Nuevo León,1,2,41565.63,36582.65,957
0925575,19,Nuevo León,2,4,146014.07,125749.21,124
0542910,16,Michoacán de Ocampo,3,2,38479.7,27605.57,487
0996929,22,Querétaro,9,3,24276.01,22656.43,912
0185692,09,Ciudad de México,1,2,61493.52,79971.06,808
0817537,09,Ciudad de México,1,2,82513.13,77200.94,110
0110768,16,Michoacán de Ocampo,1,1,35416.66,41898.81,281
0626096,20,Oaxaca,1,4,88573.21,67590.7,950
0179103,09,Ciudad de México,2,4,53743.48,34937.74,105
0359373,22,Querétaro,2,5,58171.85,46664.17,430
0312489,31,Yucatán,2,3,66607.3,70247.07,834
0525999,31,Yucatán,1,5,47347.45,50903.89,949
0804348,09,Ciudad de México,1,2,44344.99,46584.14,997
0888757,19,Nuevo León,3,2,98105.3,76767.06,1321
0592247,22,Querétaro,3,6,118628.88,77396.14,884
0291558,31,Yucatán,3,5,44256.08,35778.98,427
0111500,22,Querétaro,1,2,46246.48,42358.27,393
0444654,09,Ciudad de México,1,6,130820.34,107671.21,703
0546613,09,Ciudad de México,1,2,67154.8,64347.47,941
0498714,22,Querétaro,1,3,103524.77,124871.9,1025
0838235,31,Yucatán,1,2,90740.54,59760.58,824
0476699,19,Nuevo León,3,6,69290.43,54099.82,1309
0345030,31,Yucatán,3,3,143734.79,120743.08,1096
0126564,16,Michoacán de Ocampo,1,4,64855.36,43660.06,80
0182467,19,Nuevo León,1,7,170537.4,110706.17,476
0621943,31,Yucatán,4,7,42277.92,57009.3,618
0433905,19,Nuevo León,1,3,67106.26,64523.77,843
0196078,09,Ciudad de México,3,3,68640.55,51203.23,188
0874205,19,Nuevo León,1,3,103406.98,99891.3,237
0552359,16,Michoacán de Ocampo,4,5,82130.45,57938.24,1385
0127629,20,Oaxaca,9,6,31756.28,30518.64,129
0909824,16,Michoacán de Ocampo,1,5,108088.46,94516.38,1135
0707590,20,Oaxaca,3,3,36197.34,27403.18,309
0659882,19,Nuevo León,3,1,21833.96,16905.5,1001
0510281,19,Nuevo León,1,1,46046.42,44749.85,1122
0923615,22,Querétaro,3,3,73536.41,48776.96,931
0666155,31,Yucatán,1,3,66300.74,55961.01,1026
0276642,09,Ciudad de México,2,2,44551.36,31304.46,364
0648807,20,Oaxaca,2,1,69337.51,46457.18,962
0723954,31,Yucatán,1,1,53437.76,44006.8,112
0560003,20,Oaxaca,3,2,23555.04,16080.88,483
0269160,09,Ciudad de México,1,3,41792.21,47740.11,753
0776323,20,Oaxaca,4,2,30189.39,29152.37,620
0349110,20,Oaxaca,2,2,78670.94,76454.41,1226
0823479,20,Oaxaca,3,4,125796.56,121090.5,116
0795135,22,Querétaro,1,1,119375.89,152605.43,1102
0414689,31,Yucatán,2,4,304178.29,223901.59,460
0772214,19,Nuevo León,2,4,40874.46,31996.25,843
0734171,31,Yucatán,3,3,52817.64,44488.97,1297
0136615,22,Querétaro,1,4,48923.36,46939.34,192
0943793,19,Nuevo León,1,4,44396.96,38900.86,1153
0675482,20,Oaxaca,2,3,170013.15,146566.6,898
0103765,22,Querétaro,2,7,151607.92,77386.55,1140
0146633,31,Yucatán,3,4,125594.11,63621.43,165
0515453,20,Oaxaca,1,3,63879.78,37628.98,1389
0359076,09,Ciudad de México,1,2,38220.07,36244.87,309
0293044,20,Oaxaca,1,3,126040.5,81771.82,583
0215832,09,Ciudad de México,2,4,50273.55,41533.11,1360
0554606,20,Oaxaca,3,3,41015.5,56390.27,1145
0198499,20,Oaxaca,2,3,51146.02,39167.56,95
0367792,31,Yucatán,1,3,34138.56,31899.9,1110
0876031,22,Querétaro,2,2,22059.51,23831.94,277
0166486,31,Yucatán,2,3,51887.19,50726.14,1246
0858241,31,Yucatán,2,1,55710.57,60543.42,765
0412201,22,Querétaro,2,6,199755.73,181991.64,1396
0992653,09,Ciudad de México,1,2,72205.74,46960.24,466
0707186,20,Oaxaca,1,3,23555.53,23147.3,778
0127117,16,Michoacán de Ocampo,3,3,102450.96,87333.73,823
0447258,31,Yucatán,4,2,27872.72,24246.13,1250
0356828,09,Ciudad de México,3,4,,47631.49,194
0145796,31,Yucatán,2,5,93321.38,70641.27,1240
0790271,22,Querétaro,4,6,40261.24,37652.73,1163
0830962,31,Yucatán,1,3,63460.41,46633.48,115
0592286,19,Nuevo León,1,5,117954.41,98918.63,1301
0778456,09,Ciudad de México,1,4,90121.56,55475.99,225
0872634,19,Nuevo León,4,2,40015.68,34503.1,147
0454726,31,Yucatán,4,1,49693.77,56819.99,754
0157044,16,Michoacán de Ocampo,1,2,79442.88,73565.05,933
0271564,22,Querétaro,2,6,83003.3,64580.7,675
0941514,22,Querétaro,1,4,97062.5,69192.8,263
0759938,09,Ciudad de México,1,5,40632.77,32755.18,1295
0701664,22,Querétaro,1,2,112554.6,58532.19,898
0673236,19,Nuevo León,2,6,219509.81,194786.26,863
0144005,22,Querétaro,2,1,56127.28,44616.33,249
0292165,31,Yucatán,2,4,37935.4,49414.81,115
0569941,31,Yucatán,2,4,96515.21,66070.4,767
0388661,19,Nuevo León,3,2,34119.02,35395.59,190
0365481,31,Yucatán,2,3,47183.88,46443.56,282
0411952,16,Michoacán de Ocampo,3,3,32670.8,32480.57,346
0392000,20,Oaxaca,1,6,103057.26,142298.85,195
0274989,09,Ciudad de México,2,7,57157.61,71840.19,940
0964660,31,Yucatán,2,3,40992.2,38476.36,287
0931596,19,Nuevo León,1,6,133051.18,66383.67,916
0868211,16,Michoacán de Ocampo,1,5,62501.11,59598.98,960
0541406,19,Nuevo León,2,2,20080.3,22973.57,255
0567151,19,Nuevo León,1,3,42500.26,27926.98,1131
0626470,20,Oaxaca,4,2,34340.04,29214.81,1287
0283319,31,Yucatán,1,3,54593.77,67774.67,1194
0677028,31,Yucatán,2,2,61107.84,63255.43,161
0208491,22,Querétaro,1,6,41798.43,52833.61,1002
0841689,31,Yucatán,1,6,33451.43,41427.31,1069
0916213,19,Nuevo León,2,4,73753.81,44525.51,278
0455771,22,Querétaro,2,4,54061.76,34937.68,1143
0573105,31,Yucatán,1,2,170100.01,181709.29,120
0600339,19,Nuevo León,1,2,81853.4,65783.57,761
0381418,20,Oaxaca,4,1,21623.21,26098.14,1244
0755952,16,Michoacán de Ocampo,3,1,46262.08,39468.09,1202
0509528,22,Querétaro,3,3,73066.23,41268.63,1162
0177737,20,Oaxaca,1,3,51030.49,49164.24,205
0328259,19,Nuevo León,1,4,107371.18,107000.09,506
0979593,20,Oaxaca,3,4,75255.93,63808.87,666
0376080,31,Yucatán,1,2,55277.74,68324.63,777
0186925,22,Querétaro,2,3,45883.34,30554.89,1020
0507997,09,Ciudad de México,3,3,67877,60644.03,1283
0615568,22,Querétaro,9,6,111061.31,115844.14,960
0184778,31,Yucatán,1,5,13347.03,18799.79,479
0332761,09,Ciudad de México,4,5,58897.05,63333.19,429
0899429,20,Oaxaca,1,2,83372.12,69372.67,417
0367395,16,Michoacán de Ocampo,2,4,,87746.6,1087
0708855,22,Querétaro,1,7,88719.05,61604.61,909
0761028,31,Yucatán,1,2,61123.79,63602.01,1161
0371814,16,Michoacán de Ocampo,1,5,115022.84,127235.36,912
0167443,16,Michoacán de Ocampo,3,2,61275.06,58912.38,431
0540057,19,Nuevo León,1,1,90716.69,69857.74,1324
0442660,19,Nuevo León,2,1,,84563.01,652
0471589,16,Michoacán de Ocampo,1,5,58385.88,37123.47,878
0573499,20,Oaxaca,3,5,127370.89,118088.4,898
0350078,31,Yucatán,2,3,61471.4,46551.43,408
0291525,19,Nuevo León,1,5,49951.79,64336.63,311
0419432,19,Nuevo León,1,2,46818.36,45565.55,1300
0542346,16,Michoacán de Ocampo,2,3,82016.7,67965.7,601
0939440,09,Ciudad de México,3,3,74879.17,80190.62,1053
