folioviv|numren|parentesco|sexo|edad|nivel_esc|ing_trab|factor
0707051|2|2|1|85|3|0|269
0707051|3|3|2|23|3|2868.72|269
0707051|4|4|2|8|4|0|269
0382409|1|1|1|73|1|5062.32|912
0382409|2|2|2|34|2|4615.91|912
0382409|3|3|2|16|1|1005.14|912
0382409|4|3|1|32|3|4055.68|912
0382409|5|4|2|5|1|0|912
0971082|1|1|2|55|0|3419.5|309
0971082|2|2|1|45|1|2312.07|309
0971082|3|3|1|9|2|0|309
0971082|4|3|1|20|2|2501.84|309
0971082|5|3|2|26|0|1004.33|309
0584549|1|1|2|61|2|7214.77|423
0584549|2|2|1|34|1|0|423
0584549|3|3|2|24|0|0|423
0584549|4|4|2|3|0|0|423
0584549|5|3|1|24|4|6195.05|423
0626573|1|1|2|30|1|1159.24|651
0626573|2|2|1|65|4|0|651
0626573|3|3|2|15|2|2638.28|651
0640709|1|1|1|56|4|11657.98|1256
0640709|2|2|1|28|2|2255.07|1256
0640709|3|3|1|7|4|0|1256
0640709|4|3|1|24|4|0|1256
0640709|5|3|1|14|0|0|1256
0630040|1|1|1|49|3|6054.84|733
0630040|2|2|2|57|3|0|733
0630040|3|3|1|25|3|0|733
0630040|4|3|1|4|0|0|733
0630040|5|3|1|0|4|0|733
0630040|6|3|2|24|2|0|733
0980013|1|1|1|79|1|2276.14|240
0980013|2|2|1|58|1|14807.08|240
0424092|1|1|1|66|0|1558.69|419
0329880|1|1|2|57|1|2706.14|855
0329880|2|2|1|39|2|1869.61|855
0329880|3|3|2|0|3|0|855
0329880|4|4|1|4|0|0|855
0636898|1|1|1|71|2|0|350
0636898|2|2|1|72|3|11062.1|350
0636898|3|3|1|24|2|862.93|350
0636898|4|3|2|40|4|7077.68|350
0636898|5|3|1|29|1|1190.12|350
0636898|6|3|2|25|3|1035.57|350
0424483|1|1|1|43|1|3785.66|784
0271317|1|1|1|78|0|1736.24|387
0271317|2|2|1|53|3|3553.76|387
0824121|1|1|1|40|4|15068.18|277
0824121|2|2|1|78|2|7923.15|277
0913003|1|1|1|29|4|9114.98|1182
0913003|2|2|1|999|4|3603.17|1182
0913003|3|3|1|26|2|2792.42|1182
0851711|1|1|2|24|0|1777.57|670
0851711|2|2|1|41|2|3052.09|670
0851711|3|4|2|6|4|0|670
0387885|1|1|2|87|2|8110.45|579
0387885|2|2|1|27|3|2564.79|579
0387885|3|3|1|6|4|0|579
0387885|4|3|2|37|4|6348.49|579
0178429|1|1|1|43|4|5111.99|1007
0178429|2|2|1|27|4|3983.28|1007
0178429|3|3|2|16|5|10676.73|1007
0196096|1|1|2|55|1|2959.28|239
0196096|2|2|2|66|1|3711|239
0196096|3|3|2|11|1|0|239
0196096|4|3|1|4|3|0|239
0196096|5|3|2|999|4|0|239
0298584|1|1|2|62|4|11733.95|1382
0178229|1|1|1|79|2|14753.26|693
0178229|2|2|1|72|4|12139.15|693
0178229|3|4|1|33|2|4230.69|693
0800279|1|1|1|39|4|4673.07|1329
0800279|2|2|2|66|2|5197.8|1329
0800279|3|3|2|19|4|6095.44|1329
0283642|1|1|1|66|2|0|1298
0736602|1|1|2|83|2|7779.55|791
0736602|2|2|1|43|2|3569.3|791
0297022|1|1|1|57|3|0|236
0297022|2|2|2|999|2|0|236
0297022|3|4|1|8|4|0|236
0297022|4|3|2|24|2|2549.3|236
0219951|1|1|2|76|1|1917.43|926
0219951|2|2|1|24|4|3432.86|926
0449063|1|1|1|33|3|2459.61|527
0449063|2|2|1|30|3|8608.05|527
0449063|3|4|2|36|2|0|527
0401591|1|1|1|35|2|2059.26|409
0401591|2|2|1|34|3|0|409
0401591|3|3|2|19|2|2260|409
0859047|1|1|2|40|3|3678.83|294
0859047|2|2|1|80|1|2348.59|294
0859047|3|4|1|33|4|5314.85|294
0859047|4|3|1|11|5|0|294
0439246|1|1|2|78|2|0|352
0439246|2|2|2|66|2|6198.96|352
0702387|1|1|1|24|3|0|463
0702387|2|2|2|67|2|5974.13|463
0702387|3|3|2|34|3|0|463
0750786|1|1|1|38|5|17740.47|875
0750786|2|2|2|38|2|4309.75|875
0815305|1|1|2|60|5|5192.95|1306
0815305|2|2|1|77|4|23312.31|1306
0815305|3|3|2|5|1|0|1306
0815305|4|3|2|16|2|1420.17|1306
0815305|5|3|2|35|2|1748.7|1306
0815305|6|3|2|13|4|0|1306
0815305|7|3|2|19|4|5226.37|1306
0773283|1|1|1|35|3|3630.35|1292
0773283|2|2|1|80|0|4076.79|1292
0773283|3|3|2|29|3|1782.27|1292
0361255|1|1|1|64|0|1666.35|91
0361255|2|2|1|71|3|7062.53|91
0361255|3|3|2|39|4|6521.2|91
0361255|4|4|2|10|2|0|91
0390784|1|1|1|26||1662|583
0390784|2|2|2|27|1|2025.44|583
0390784|3|3|1|38|4|0|583
0638425|1|1|1|59|4|9931.86|1253
0638425|2|2|2|45|4|3829.98|1253
0638425|3|3|2|38|2|3081.31|1253
0119688|1|1|2|78|4|26939.09|505
0443927|1|1|2|79|1|3165.68|400
0443927|2|2|1|48|4|4716.28|400
0443927|3|3|2|20|2|2288.05|400
0128514|1|1|2|69|2|12503.19|1358
0128514|2|2|2|47|2|n.d.|1358
0256316|1|1|1|26|3|1007.43|709
0256316|2|2|1|31|2|5766.74|709
0681997|1|1|2|88|3|9109.56|972
0681997|2|2|1|48|3|6275.94|972
0681997|3|4|2|22|5|8208.76|972
0681997|4|3|2|24|1|0|972
0681997|5|3|1|18|3|2095.47|972
0152426|1|1|2|65|1|0|1274
0152426|2|2|1|79|1|1363.05|1274
0485835|1|1|1|68|4|15570.31|256
0485835|2|2|1|26|3|2060.08|256
0485835|3|3|1|31|2|1952.56|256
0251356|1|1|1|31|2|1955.04|302
0251356|2|2|2|999|3|3923.93|302
0251356|3|3|2|21|0|1686.9|302
0251356|4|3|2|17|4|4110.1|302
0461718|1|1|2|65|1|0|888
0461718|2|2|2|39|2|0|888
0461718|3|3|1|4|0|0|888
0272690|1|1|1|81|1|10281|1223
0272690|2|2|1|45|1|n.d.|1223
0272690|3|3|2|0|1|0|1223
0272690|4|3|1|35|3|2257.16|1223
0109926|1|1|1|49|3|2255.74|1043
0109926|2|2|1|42|4|10835.08|1043
0390618|1|1|1|68|2|5327.31|153
0390618|2|2|1|53|2|2544.4|153
0390618|3|3|2|23|2|2378.15|153
0915361|1|1|1|79|4|11201.75|162
0915361|2|2|1|69|2|0|162
0628444|1|1|2|56|2|0|835
0628444|2|2|2|87|4|19801.46|835
0300905|1|1|1|59|2|6022.19|1291
0300905|2|2|2|35|2|3111.27|1291
0300905|3|4|2|22|4|6070.19|1291
0300905|4|3|2|33|3|2884.79|1291
0323826|1|1|2|41|5|10201.46|1381
0323826|2|2|1|56|3|0|1381
0323826|3|3|2|9|3|0|1381
0593157|1|1|1|75|3|4384|718
0593157|2|2|1|44|4|4421.53|718
0593157|3|4|2|31|2|4296.25|718
0593157|4|3|2|14|3|0|718
0770338|1|1|1|49|3|1496.78|624
0770338|2|2|2|51|0|2017.99|624
0770338|3|4|2|21|5|4977.68|624
0770338|4|3|2|4|4|0|624
0770338|5|3|1|26|3|10333.48|624
0769201|1|1|2|80|1|8077.67|317
0815034|1|1|1|51|1|1201.12|82
0289595|1|1|1|999|1|5064.35|750
0289595|2|2|1|42|3|5829.65|750
0289595|3|3|2|27|3|0|750
0820751|1|1|1|66|1|1747.27|920
0820751|2|2|1|53|2|0|920
0820751|3|4|1|16|3|2653.75|920
0820751|4|3|2|21|3|3214.77|920
0820751|5|3|2|12|2|0|920
0820751|6|3|1|7|1|0|920
0570316|1|1|1|72|3|5604.93|864
0570316|2|2|2|24|5|5213.29|864
0481118|1|1|2|56|5|14367.4|426
0205868|1|1|2|56|2|4339.73|717
0205868|2|2|2|76|1|3670.25|717
0205868|3|3|2|40|4|4548.7|717
0769859|1|1|2|70|0|3510.78|569
0769859|2|2|2|46|2|0|569
0769859|3|3|2|20|4|9709.01|569
0768822|1|1|1|26|3|3486.84|1208
0768822|2|2|1|59|1|2788.68|1208
0768822|3|3|2|36|4|0|1208
0768822|4|3|2|19|1|1761.41|1208
0950177|1|1|1|54|2|10740.39|548
0266501|1|1|1|63|4|5255.41|870
0266501|2|2|2|54|3|9820.83|870
0266501|3|3|1|12|4|0|870
0266501|4|3|1|10|1|0|870
0266501|5|4|1|33|4|3457.67|870
0266501|6|3|1|3|3|0|870
0520722|1|1|1|44|3|4239|1023
0520722|2|2|1|78|2|11351.89|1023
0873316|1|1|1|27|5|19706.56|952
0873316|2|2|1|43|5|0|952
0873316|3|3|2|3|1|0|952
0496697|1|1|2|30|4|2913.86|1088
0496697|2|2|2|73|4|23784.07|1088
0496697|3|3|1|18|3|4436.31|1088
0496697|4|3|2|1|3|0|1088
0496697|5|3|2|37|1|0|1088
0496697|6|3|1|26|3|2877.45|1088
0350412|1|1|2|55|2|0|797
0350412|2|2|1|999|2|5435.8|797
0350412|3|3|1|8|1|0|797
0350412|4|3|1|23|1|1964.32|797
0942995|1|1|2|28|4|14083.72|1210
0942995|2|2|1|78|1|6390.81|1210
0942995|3|3|1|38|0|2487.28|1210
0942995|4|3|2|32|1|0|1210
0942995|5|3|1|6|2|0|1210
0942995|6|3|1|17|1|1161.56|1210
0951969|1|1|2|30|3|2833.56|849
0805124|1|1|1|25|4|2265.85|495
0805124|2|2|2|82|4|16031.63|495
0381868|1|1|1|70|4|8541.07|758
0381868|2|2|2|51|4|3260.62|758
0516936|1|1|1|26|3|3142.09|661
0516936|2|2|1|74|2|8454.45|661
0846230|1|1|1|54|1|1216.3|1255
0846230|2|2|1|86|3|8949.9|1255
0846230|3|3|1|24|2|6476.83|1255
0846230|4|4|1|11|4|0|1255
0926162|1|1|1|76|3|0|1392
0926162|2|2|1|88|3|13167.05|1392
0926162|3|3|2|0|2|0|1392
0673250|1|1|1|81|4|10246.32|367
0673250|2|2|2|50|3|3818.21|367
0673250|3|4|2|29|0|850.27|367
0673250|4|3|1|6|1|0|367
0801999|1|1|1|28|4|4121.11|734
0801999|2|2|1|999|5|9227.72|734
0896750|1|1|1|71|0|2689.98|443
0907857|1|1|1|38|4|5680.01|604
0284253|1|1|2|26|1|1358.76|975
0284253|2|2|1|66|2|4244.4|975
0284253|3|4|1|31|1|767.63|975
0284253|4|3|1|23|3|1701.86|975
0284253|5|3|1|25|2|1194.89|975
0284253|6|3|1|999|3|0|975
0754749|1|1|1|69|2|2982.1|591
0754749|2|2|1|62|2|0|591
0260037|1|1|1|53|3|10454.31|840
0260037|2|2|1|81|1|2566.41|840
0260037|3|3|2|10|1|0|840
0573043|1|1|2|35|2|4009.59|805
0573043|2|2|2|51|2|2395.83|805
0573043|3|3|2|32|3|2223.72|805
0496208|1|1|2|64|5|26493.11|1089
0496208|2|2|2|42|1|3032.63|1089
0496208|3|3|2|34|2|2607.86|1089
0496208|4|3|2|31|1|2247.93|1089
0496208|5|3|2|32|1|1708.4|1089
0496208|6|3|1|19|4|2966.24|1089
0496208|7|3|2|15|2|0|1089
0729688|1|1|1|35|5|9798.15|445
0729688|2|2|2|63|3|8876.41|445
0729688|3|3|2|29|2|0|445
0633481|1|1|1|25|2|630.54|164
0633481|2|2|2|85|2|0|164
0633481|3|3|1|14|4|0|164
0847612|1|1|1|53|4|8840.22|1154
0847612|2|2|1|72|3|17812.33|1154
0847612|3|3|1|9|1|0|1154
0847612|4|3|2|39|5|5599.38|1154
0748064|1|1|1|76|4|43211.11|316
0748064|2|2|1|72|2|5186.53|316
0748064|3|3|1|12|2|0|316
0748064|4|3|2|39|4|0|316
0748064|5|3|2|13|2|0|316
0380985|1|1|2|41|1|2528.83|1194
0380985|2|2|1|46|1|708.48|1194
0380985|3|3|1|25|3|0|1194
0380985|4|3|2|11|4|0|1194
0380985|5|3|2|11|3|0|1194
0187769|1|1|2|60|1|3177.33|226
0202474|1|1|1|88|1|8681.61|1194
0202474|2|2|2|84|2|10653.23|1194
0202474|3|3|1|5|1|0|1194
0202474|4|3|1|10|3|0|1194
0328846|1|1|1|25|0|555.07|995
0328846|2|2|1|32|0|0|995
0328846|3|3|1|39|4|3366.58|995
0328846|4|3|2|38|4|8674.33|995
0328846|5|3|1|2|2|0|995
0272114|1|1|2|80|0|3266.81|1205
0272114|2|2|2|42|3|6965.86|1205
0272114|3|4|2|4|4|0|1205
0354309|1|1|1|30|5|4115.49|439
0354309|2|2|1|41|2|6093.82|439
0354309|3|3|2|28|4|0|439
0184168|1|1|1|69|4|8576.84|995
0184168|2|2|1|79|2|6379.78|995
0184168|3|4|2|1|2|0|995
0184168|4|3|1|36|4|14854.06|995
0755000|1|1|1|26|1|1130.06|400
0179917|1|1|2|53|4|0|190
0179917|2|2|1|27|4|4771.42|190
0179917|3|3|2|2|4|0|190
0179917|4|3|1|35|2|2291.92|190
0179917|5|3|2|22|3|1740.78|190
0179917|6|3|2|37|2|3482.05|190
0218365|1|1|1|67|3|8931.18|559
0690879|1|1|2|81|1|9338.34|428
0690879|2|2|2|27|0|0|428
0690879|3|4|1|11|2|0|428
0690879|4|3|1|20|2|1720.46|428
0442873|1|1|2|73|3|0|383
0442873|2|2|2|63|3|14256.23|383
0442873|3|3|2|5|3|0|383
0442873|4|3|2|33|1|5599.44|383
0847799|1|1|1|58|1|3528.16|515
0847799|2|2|2|73|1|1999.3|515
0847799|3|3|1|21|3|4071.2|515
0847799|4|3|1|20|4|5004.02|515
0847799|5|3|1|8|4|0|515
0578245|1|1|1|40|1|7620.22|1090
0578245|2|2|2|58|2|8486.56|1090
0578245|3|3|2|8|4|0|1090
0687852|1|1|1|47|3|1786.08|554
0687852|2|2|1|44|3|6271.81|554
0687852|3|3|2|31|2|1753.71|554
0620014|1|1|2|56|4|6502.64|178
0620014|2|2|2|39|1|839.98|178
0620014|3|3|2|6|2|0|178
0620014|4|3|1|18|4|2540.39|178
0660722|1|1|1|79|3|6185.47|118
0660722|2|2|2|74|0|4433.97|118
0660722|3|3|1|999|1|0|118
0660722|4|3|1|3|1|0|118
0909967|1|1|1|88|0|6038.68|1055
0439850|1|1|1|37|4|13468.33|690
0439850|2|2|1|54|2|0|690
0173391|1|1|1|61|1|5716.26|1270
0173391|2|2|1|35|3|1743.57|1270
0173391|3|3|1|38|1|2165.5|1270
0173391|4|3|2|26|1|0|1270
0173391|5|3|1|2|4|0|1270
0201342|1|1|2|75|3|5053.51|157
0201342|2|2|2|64|2|0|157
0201342|3|3|1|16|1|800.2|157
0278491|1|1|2|27|0|2630.04|520
0278491|2|2|2|37|4|4188.31|520
0278491|3|3|1|9|1|0|520
0278491|4|3|1|10|2|0|520
0278491|5|3|1|18|2|2927.44|520
0918884|1|1|1|86|4|16441.28|235
0918884|2|2|1|71|3|11360.1|235
0491908|1|1|2|43|2|1604.27|208
0491908|2|2|1|30|1|1468.05|208
0491908|3|3|2|21|2|0|208
0491908|4|3|1|36|4|4891.57|208
0491908|5|3|2|13|0|n.d.|208
0491908|6|3|2|26|5|6604.27|208
0511720|1|1|2|29|3|13365.17|1236
0511720|2|2|2|57|3|14410.82|1236
0511720|3|3|2|30|3|4081.34|1236
0947783|1|1|2|86|2|7139.74|271
0947783|2|2|2|88|3|14412.15|271
0947783|3|3|2|7|5|0|271
0947783|4|3|1|26|2|3971.77|271
0455885|1|1|2|38|0|705.62|953
0455885|2|2|2|55|3|3342.91|953
0455885|3|4|2|0|1|0|953
0455885|4|3|1|23|1|1963.31|953
0523208|1|1|1|27|1|988.74|104
0523208|2|2|2|88|1|4851.03|104
0523208|3|3|2|5|3|0|104
0523208|4|3|1|30|4|2882.88|104
0523208|5|3|2|27|3|4093.46|104
0143295|1|1|1|60|4|10758.77|1214
0447622|1|1|2|41|4|13243.88|260
0447622|2|2|2|53|4|0|260
0447622|3|3|1|29|0|1055.15|260
0447622|4|3|1|16|2|0|260
0447622|5|3|2|34|5|0|260
0447622|6|3|1|34|1|3577.68|260
0149625|1|1|1|64|4|15971.99|449
0149625|2|2|2|62|2|5435.18|449
0149625|3|3|1|8|5|0|449
0149625|4|3|2|15|2|1926.95|449
0149625|5|4|2|30|4|0|449
0961508|1|1|1|58|2|0|200
0961508|2|2|1|61|4|10887.83|200
0961508|3|3|2|39|4|2374.26|200
0961508|4|3|2|31|2|7525.31|200
0961508|5|3|2|28|2|723.52|200
0141767|1|1|1|71|2|0|796
0141767|2|2|1|68|1|1561.43|796
0701088|1|1|1|72|1|0|1046
0701088|2|2|1|27|3|9771.28|1046
0572529|1|1|1|42|4|6376.42|107
0572529|2|2|2|58|1|4755.14|107
0572529|3|4|2|35|4|6968.99|107
0572529|4|3|2|10|2|0|107
0161814|1|1|2|32|2|4561.79|1137
0587436|1|1|1|46|1|2094.77|1099
0431091|1|1|2|64|4|9084.49|1214
0431091|2|2|1|46|2|0|1214
0762127|1|1|1|31|1|1626.23|483
0762127|2|2|2|61|0|2128.18|483
0762127|3|3|2|40|2|5579.14|483
0762127|4|3|2|1|4|0|483
0762127|5|3|2|23|5|5524.51|483
0762127|6|4|1|20|1|2861.71|483
0762127|7|3|1|30|1|1667.48|483
0109628|1|1|2|41|2|4047.25|83
0109628|2|2|2|85|2|7378.21|83
0109628|3|3|1|6|1|0|83
0109628|4|3|1|1|1|0|83
0473022|1|1|1|54|4|5277|661
0473022|2|2|1|52|2|3061.03|661
0473022|3|3|1|27|2|0|661
0843837|1|1|1|63|4|6531.18|1313
0843837|2|2|2|63|3|3458.19|1313
0890247|1|1|1|39|2|n.d.|1360
0890247|2|2|2|62|2|4510.08|1360
0890247|3|3|2|9|3|0|1360
0890247|4|3|2|35|2|7612.64|1360
0890247|5|3|2|36|1|1668.14|1360
0890247|6|4|1|999|4|3522.66|1360
0890247|7|3|1|14|4|0|1360
0703657|1|1|1|63|2|3171.48|94
0703657|2|2|1|73|3|8886.04|94
0703657|3|3|2|9|2|0|94
0360131|1|1|1|40|2|3553.17|349
0360131|2|2|1|85|2|7821.2|349
0360131|3|3|2|39|2|3706.83|349
0258653|1|1|2|34|5|6880.12|961
0190610|1|1|2|44|2|0|552
0190610|2|2|1|30|4|4676|552
0190610|3|4|1|35|2|3601.04|552
0924476|1|1|1|999|3|7389.53|265
0924476|2|2|1|32|3|3216.94|265
0626640|1|1|2|59|3|9394.08|825
0626640|2|2|1|73|5|5514.86|825
0626640|3|3|2|22|1|705.45|825
0626640|4|3|2|28|3|2321.18|825
0204549|1|1|1|82|2|11613.51|864
0777820|1|1|1|43|4|13099.75|994
0777820|2|2|1|67|0|2669.95|994
0238120|1|1|2|49|3|2926.2|648
0238120|2|2|1|70|1|4590.96|648
0238120|3|3|2|40|4|7974.4|648
0238120|4|3|2|14|3|0|648
0371461|1|1|1|70|1|2138.53|192
0371461|2|2|2|81|5|22329.31|192
0371461|3|3|2|26|2|1362.51|192
0371461|4|3|1|11|4|0|192
0335255|1|1|1|30|2|4472.95|1279
0335255|2|2|1|62|2|3573.66|1279
0335255|3|4|2|18|1|2817.22|1279
0335255|4|4|2|999|4|5235.37|1279
0335255|5|3|1|26|4|2858.69|1279
0341040|1|1|1|72|1|1991.35|1150
0341040|2|2|1|74|4|0|1150
0341040|3|3|2|39|1|1963.25|1150
0341040|4|3|1|26|2|1000.16|1150
0341040|5|3|2|14|1|0|1150
0341040|6|3|1|14|3|0|1150
0881072|1|1|1|62|3|4591.97|689
0881072|2|2|2|65|0|838.51|689
0881072|3|3|2|15|4|5697.03|689
0881072|4|3|2|13|0|0|689
0669279|1|1|1|42|2|4366.91|749
0669279|2|2|2|27|5|8025.27|749
0669279|3|3|1|27|1|0|749
0321301|1|1|2|57|3|4464.96|453
0321301|2|2|2|30|0|0|453
0189925|1|1|1|54|3|4639.86|363
0189925|2|2|2|50|3|9817.99|363
0189925|3|3|1|19|2|1725.78|363
0721168|1|1|2|81|3|12098.68|427
0721168|2|2|2|85|3|11285.16|427
0721168|3|3|1|1|3|0|427
0875687|1|1|1|28|2|6693.42|833
0875687|2|2|1|69|1|4022.31|833
0875687|3|3|1|31|1|2130.63|833
0875687|4|4|2|38|3|3630.67|833
0172484|1|1|2|29|1|1803.98|509
0172484|2|2|1|28|4|0|509
0172484|3|4|2|32|2|3484.44|509
0336383|1|1|2|44|5|6472.93|256
0914710|1|1|2|61|1|2825.9|583
0914710|2|2|1|43|4|8607.3|583
0914710|3|3|2|34|3|5106.2|583
0914710|4|3|2|0|2|0|583
0914710|5|3|1|22|2|1245.82|583
0366105|1|1|1|79|0|6187.42|957
0366105|2|2|2|59|2|5151.26|957
0366105|3|3|2|30|2|1438.06|957
0274549|1|1|1|53|3|5382.27|416
0274549|2|2|2|87|1|8101.18|416
0165393|1|1|1|87|5|29576.67|1318
0165393|2|2|2|50|3|3944.01|1318
0394943|1|1|1|43|1|4657.89|503
0394943|2|2|2|66|5|18076.36|503
0682309|1|1|2|54|1|3404.78|1274
0682309|2|2|1|76|3|8749.94|1274
0141534|1|1|2|28|1|1029.61|855
0141534|2|2|2|27|1|0|855
0141534|3|3|2|29|2|0|855
0588763|1|1|1|53|3|0|1118
0588763|2|2|1|41|4|0|1118
0588763|3|3|1|33|1|1169.31|1118
0588763|4|4|2|7|0|0|1118
0588763|5|3|1|24|4|11332.23|1118
0255996|1|1|1|71|4|0|1054
0255996|2|2|2|67|2|6269.89|1054
0255996|3|3|2|11|5|0|1054
0241858|1|1|2|87|2|4055.58|611
0241858|2|2|2|77|4|18874.05|611
0791729|1|1|2|56|2|3235.22|486
0791729|2|2|2|44|2|0|486
0791729|3|3|1|8|3|0|486
0791729|4|3|2|7|5|0|486
0791729|5|3|1|7|2|0|486
0449847|1|1|2|50|3|0|179
0449847|2|2|2|26|5|10348.62|179
0449847|3|3|1|31|1|2742.66|179
0220222|1|1|2|65|3|5366.92|971
0220222|2|2|1|65|2|8249.47|971
0220222|3|3|2|32|3|0|971
0599189|1|1|1|83|4|7537.78|1255
0599189|2|2|1|37|2|1982.23|1255
0599189|3|3|2|8|3|0|1255
0599189|4|3|2|21|3|0|1255
0599189|5|3|2|19|4|5721.9|1255
0788508|1|1|1|29|1|1992.85|1116
0788508|2|2|2|60|1|6553.13|1116
0788508|3|3|1|33|3|1306.73|1116
0788508|4|3|1|1|3|0|1116
0750662|1|1|2|42|2|6655.02|1320
0750662|2|2|2|85|3|0|1320
0963153|1|1|1|48|1|5851.83|1012
0963153|2|2|1|79|2|5666.31|1012
0963153|3|3|1|5|1|0|1012
0963153|4|3|1|38|1|0|1012
0963153|5|3|1|7|3|0|1012
0963153|6|3|1|12|4|0|1012
0313179|1|1|1|24|3|5075.06|1326
0313179|2|2|1|63|4|10727.49|1326
0313179|3|3|1|39|2|1310.22|1326
0313179|4|3|2|38|2|3045.57|1326
0961894|1|1|2|57|1|0|1341
0961894|2|2|1|40|1|2248.65|1341
0548023|1|1|2|56|2|6791.46|136
0548023|2|2|1|84|1|5573.87|136
0548023|3|3|2|5|4|0|136
0548023|4|4|2|24|4|5402.95|136
0548023|5|3|2|32|2|1521.95|136
0528110|1|1|2|78|3|3847.33|826
0528110|2|2|2|77|4|5324.02|826
0301204|1|1|1|45|3|2703.89|570
0301204|2|2|1|44||4364.9|570
0301204|3|3|1|31|1|1913.25|570
0543591|1|1|2|47|1|3016.36|519
0543591|2|2|2|80|1|4608.39|519
0543591|3|3|2|0|4|0|519
0554891|1|1|2|36|1|1971.34|1240
0554891|2|2|1|86|1|5767.95|1240
0554891|3|4|1|0|4|0|1240
0949482|1|1|1|66|2|2381.58|1365
0574515|1|1|1|81|2|7848.49|937
0574515|2|2|2|41|2|2652.46|937
0574515|3|4|1|24|5|7992.18|937
0727613|1|1|2|51|3|5827.93|245
0727613|2|2|1|45|1|0|245
0177082|1|1|1|50|4|0|246
0177082|2|2|2|58|3|13558.55|246
0177082|3|3|2|38|2|2540.26|246
0569552|1|1|1|68|3|9402.21|1225
0569552|2|2|2|65|4|12411.97|1225
0569552|3|3|2|38|3|2752.24|1225
0619564|1|1|1|52|2|7499.51|1063
0619564|2|2|1|74|4|21685.1|1063
0619564|3|3|1|29|1|1724.32|1063
0467677|1|1|2|28|1|1392.21|766
0467677|2|2|1|68|2|5201.96|766
0467677|3|3|2|13|5|0|766
0467677|4|3|1|19|5|17590.35|766
0797285|1|1|1|31|3|4551.34|648
0797285|2|2|2|45|2|0|648
0797285|3|3|1|9|1|0|648
0797285|4|3|1|33|3|4078.43|648
0692026|1|1|1|88|2|5444.16|749
0692026|2|2|1|41|5|4415.27|749
0692026|3|3|2|35|2|3608.27|749
0861702|1|1|1|50|2|3375.79|757
0861702|2|2|2|65|3|12457.68|757
0861702|3|3|2|16|2|1650.24|757
0861702|4|3|1|37|1|1665.65|757
0861702|5|3|2|16|3|4677.41|757
0436531|1|1|2|87|2|4185.01|542
0436531|2|2|1|30|2|5278.48|542
